manager_id,manager_name,type,style,strategy,sector,website,email_1,email_2,phone_1,email_score,contact_name,contact_title,confidence,source,status,notes,last_checked
5,1290 Funds,AssetAllocation,Discretionary,Diversified,Global,https://www.1290funds.com,1290Funds@dfinsolutions.com,prospectus@equitable.com,888-310-0416,20,Patricia Louie,EVP & General Counsel,medium,"Gemini:URL, WebScrape, Claude",Needs Review,"Transfer agent email via SS&C GIDS; parent IR at ir.equitableholdings.com",2026-06-28
3700,168 Trading Limited,Crypto,Systematic,Market Neutral,Global,https://168trading.fund,jez@168trading.fund,,+44 7977 463971,60,Jezebel Pincho,Head of Operations,medium,Claude,Verified,"SEC Form D filing; Gibraltar FSC regulated #26321; AUM ~$11M",2026-06-28
3707,1L Capital,Market Neutral,Fund of Funds,Diversified,Global,https://www.1lcapital.com,info@1lcapital.com,,+1 305-988-6552,80,James C. Ni,Managing Member,high,"Gemini:URL, Gemini:Contacts",Verified,"SEC Form ADV, company website",2026-06-28
13,2100news,Crypto,Discretionary,Digital Asset Allocator,Global,https://www.2100news.com,editorial@2100news.com,,+386 40 509 990,60,,,low,Claude,Needs Review,"Passive crypto index fund via ICONOMI (ticker NWSCOT); editorial contact only - no dedicated IR",2026-06-28
22,36 South Capital Advisors,Hedge Fund,Discretionary,Fundamental,Volatility,https://www.36south.com,info@36south.com,,+442088402525,80,,,high,"Gemini:URL, Gemini:Contacts",Verified,company website,2026-06-28
28,3I,Infrastructure,Discretionary,Diversified,Global,https://www.3i.com,thomas.fodor@3i.com,,+44 20 7975 3131,70,Thomas Fodor,Group Investor Relations Director,high,"Gemini:URL, Gemini:Contacts",Verified,company website,2026-06-28
36,7orca Asset Management AG,RiskPremia,Systematic,Option Writer,Global,https://www.7orca.com,sven.mueller@7orca.com,info@7orca.com,+494033460460,70,Tindaro Siragusano,CEO,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,company website,2026-06-28
3758,Abans Investment Managers,CTA,Systematic,Market Neutral,Global,https://www.abansinvest.com,info@abansinvest.com,,+91 22 6179 0000,80,Paras Mehta,MD & CEO,high,"Gemini:URL, Gemini:Contacts",Verified,company website,2026-06-28
47,Abbey Capital,CTA,Fund of Funds,Diversified,Global,https://www.abbeycapital.com,info@abbeycapital.com,,+353 1 828 0400,80,Mick Swift,CEO,high,"Gemini:URL, Gemini:Contacts",Verified,company website,2026-06-28
49,ABCA Asset Management,Market Neutral,Systematic,Multi Strategy,Global,https://am.abc-arbitrage.com,info@abca-am.com,,+33 1 53 00 55 00,40,Dominique Ceolin,CEO & Co-founder,medium,Claude,Needs Review,"Best match: ABC Arbitrage Asset Management S.A. (Paris); Euronext: EPA:ABCA; SEC registered",2026-06-28
